"№
п/п";"Код
номенклатуры";Ноенклатура;"Кол-во
на складах";"Макс.
закупка";Опт Карта Рубин;Опт Карта Рубин +;Розничная цена;Оптовая цена;gold;platinum
511;00079896;Удлинитель на катушке силовой народный 4 гнезда ПВС 1300 Вт б/з, 50м УС-41134;15;1624,53;2 558,00;2 430,00;2 558,00;2 218,00;2 430,10;2 302,20
512;00080687;Удлинитель 1х10м с заземл. 16А IP20 Зевс 2.0 ПВС 3х1 3.5кВт PROxima  USB02-16-310-1-10 RS;0; ; ; ;1 180,00;1 060,00;1 121,00;1 062,00
513;00079880;"Удлинитель ""Эксперт"" 4 гнезда 5 метров 13А/3,0кВт с выключателем и заземлением ПВС 3х1 EKF PROxima";11;571,33;770;733;770;596;731,5;693
514;00079879;"Удлинитель ""Эксперт"" 4 гнезда 5 метров 10А/2,2кВт без заземления ПВС 2х0,75 EKF";57;363,45;623;594;623;476;591,85;560,7
515;00079878;"Удлинитель ""Эксперт"" 4 гнезда 3 метра 13А/3,0кВт с выключателем и заземлением ПВС 3х1 EKF";52;447,8;808;770;808;616;767,6;727,2
516;00079877;"Удлинитель ""Эксперт"" 4 гнезда 3 метра 10А/2,2кВт без заземления ПВС 2х0,75 EKF";49;276,77;474;452;474;362;450,3;426,6
517;00079872;"Удлинитель ""Эксперт"" 3 гнезда 5 метров 13А/3,0кВт с выключателем и заземлением ПВС 3х1 EKF PROxima";114;544,62;885;843;885;675;840,75;796,5
518;00079871;"Удлинитель ""Эксперт"" 3 гнезда 5 метров 10А/2,2кВт без заземления ПВС 2х0,75 EKF";59;348,78;598;570;598;456;568,1;538,2
519;00079870;"Удлинитель ""Эксперт"" 3 гнезда 3 метра 16А/3,0кВт с выключателем и заземлением ПВС 3х1 EKF PROxima";161;506,03;831;792;831;634;789,45;747,9
520;00079869;"Удлинитель ""Эксперт"" 3 гнезда 3 метра 10А/2,2кВт без заземления ПВС 2х0,75 EKF";201;288,23;494;471;494;377;469,3;444,6
521;00079810;Угол внутренний вертикальный КМВ 20х10 (4 шт./комп.)  IEK ЭЛК;10;49,14;89,88; ;89,88;80,89;85,39;80,89
522;00079809;Угол внутренний вертикальный  КМВ 40х25 (4шт./комп.)  IEK ЭЛК;2;80,35;146,59; ;146,59;131,93;139,26;131,93
523;00079808;Угол внутр. (60х40) (4 шт) белый EKF-Plast;5;135,08;227;216;227;176;215,65;204,3
524;00079807;Угол внутр. (40х25) (4 шт) темн. дерево EKF-Plast;5;56,08;95;90;95;73;90,25;85,5
525;00083234;"Фонарь светодиодный ""Кемпинг 4"" аккумуляторный, 24+19 LED, 44 лм/Вт, 3 режима с поворот. ручкой, TDM";42;1165,34;1 921,00;1 861,00;1 921,00;1 657,00;1 824,95;1 728,90
526;00081023;Фонарь светодиод 3ВтCOB, магнит для крепления, питание 3*AAA;0; ; ; ; ; ; ; 
527;00083236;Фонарь переносной светодиодный ФП4, 1 Вт LED+3 Вт COB, 110 лм, 3хААА, магн., телескоп, TDM;40;311,84;514;498;514;444;488,3;462,6
528;00079491;Фонарь Классика Т-8107 (2хR6) Космос KOC8107T RS;0; ;86; ;86;78;81,7;77,4
529;00079490;Фонарь аккумуляторный налобный H5W LED 5Вт 2 режима аккум. 2А.ч ЗУ USB  KOCAccuH5WLED RS;0; ;660;613,8;660;555;627;594
530;00079489;Фонарь TG9 налобный аккум. 4В 0.9А.ч 9хLED ЗУ 220В карт. упак. Трофи C0045557 RS;5;318,5;550; ;550;495;522,5;495
531;00079488;Фонарь TA4 с подзарядкой от сети аккум. 4В 0.5А.ч 4хLED Трофи Б0002594 RS;0; ;342; ;342;311;324,9;307,8
532;00079487;"Фонарь RA-801 рабочий ""Практик"" Акку 15Вт COB powerbank 6А.ч магнит крючок 3 режима ЭРА Б0027824 RS";96;1029,2;1 545,00;1 496,00;1 545,00;1 297,00;1 467,75;1 390,50
533;00079486;Фонарь Premium 5Вт Q5 LED питание 1х3.7В 18650 Li-on авиац. алюмин. КОСМОС KosAL_5W RS;5;356,82;700; ;700;630;665;630
534;00079485;Фонарь LED 3031 (24хLED 4хAA) диск. кемпинг Космос KOC3031LED RS;3;273,61;430;399,9;430;360;408,5;387
535;00079484;Фонарь LED 2079B (3хR03.5хLED) Космос KOC2079BLED RS;4;171,88;275;255,75;275;230;261,25;247,5
536;00079481;Фонарь H7LED 7хLED 3хAAA(R03) налобный Космос KOC-H7-LED RS;5;219,79;345;320,85;345;290;327,75;310,5
537;00086004;Фасадное крепление КФК12-47.1 (SO90.1, SF 10, BRPF 70-150-1F) IEK;0; ; ; ; ; ; ; 
538;00085185;"Устройство намотки кабеля УНК-7-6Н (мод.2) с 
ИДМ-20";0;46451,29; ; ; ; ; ; 
539;00085184;Устройство намотки кабеля УНК 30М;0;37839,63; ; ; ; ; ; 
540;00080136;Уличный светильник Akfa Lighting на солнечной батарее c датчиком движения и пультом д/у ak-ssl 150w;8;2467,38;3 899,00;3 799,00;3 899,00;3 599,00;3 704,05;3 509,10
541;00085960;УЗО ВД1-63 2Р 63А 30мА IEK;0; ; ; ; ; ; ; 
542;00079094;УЗО ВД1-63 2Р 63А 100мА IEK;0; ;1 538,00;1 538,00;1 538,00;1 538,00;1 461,10;1 384,20
543;00079093;УЗО ВД1-63 2Р 40А 30мА IEK;9;929,27;1 349,00;1 349,00;1 349,00;1 349,00;1 281,55;1 214,10
544;00079092;УЗО ВД1-63 2Р 25А 30мА IEK;4;881,1;1 269,00;1 269,00;1 269,00;1 269,00;1 205,55;1 142,10
545;00085959;УЗО ВД1-63 2Р 16А 10мА IEK;0; ; ; ; ; ; ; 
546;00079034;УЗО ВД-100 2P 63А 30мА тип (А) эл-мех EKF PROxima;5;1117,12;1 662,00;1 583,00;1 662,00;1 267,00;1 578,90;1 495,80
547;00079033;УЗО ВД-100 2P 63А 100мА тип (А) эл-мех EKF PROxima;4;1518,93;2 260,00;2 153,00;2 260,00;1 723,00;2 147,00;2 034,00
548;00079032;УЗО ВД-100 2P 40А 30мА тип (А) эл-мех EKF PROxima;21;1045,13;1 555,00;1 481,00;1 555,00;1 185,00;1 477,25;1 399,50
549;00079031;УЗО ВД-100 2P 25А 30мА тип (А) эл-мех EKF PROxima;43;1429,13;2 192,00;2 088,00;2 192,00;1 288,00;2 082,40;1 972,80
550;00079891;Удлинитель 4 гнезда, 5 метров, б/з, 10 А, 2300 Вт, белый, НАРОДНЫЙ У-42016;54;183,27;288;273;288;251;273,6;259,2
551;00079890;Удлинитель 4 гнезда, 3 метра, б/з, 10 А, 2300 Вт, белый, НАРОДНЫЙ У-42016;56;140,03;220;209;220;192;209;198
552;00079889;Удлинитель 3 гнезда, 5 метров, с/з, выкл., 10 А, 2300 Вт, белый, НАРОДНЫЙ У1-32055;73;313,71;494;469;494;429;469,3;444,6
553;00079378;Элемент питания алкалиновый LR LR03 BP-5 (блист.5шт) Космос KOCLR035BL RS;1;111,07;175; ;175;158;166,25;157,5
554;00079377;Элемент питания алкалиновый LR LR03 BP-4 (блист.4шт) Космос KOCLR034BL_classic RS;3;102,72;139; ;139;125;132,05;125,1
555;00079376;Элемент питания алкалиновый LR LR03 BP-2 (блист.2шт) Космос KOCLR032BL RS;0; ;78; ;78;70;74,1;70,2
556;00079375;Элемент питания алкалиновый AAA/LR03 94 751 NBT-NE-LR03-BP4 (блист.4шт) NAVIGATOR 94751 RS;0; ;142; ;142;114;134,9;127,8
557;00079374;Элемент питания алкалиновый AAA/LR03 94 750 NBT-NE-LR03-BP2 (блист.2шт) NAVIGATOR 94750 RS;0; ;76; ;76;61;72,2;68,4
558;00079373;Элемент питания алкалиновый AAA/LR03 1.5В Energy Alkaline 2021 BL-8 (уп.8шт) DAEWOO 5031111 RS;0; ;366; ;366;292;347,7;329,4
559;00079372;Элемент питания алкалиновый AAA/LR03 1.5В Energy Alkaline 2021 BL-4 (уп.4шт) DAEWOO 5029903 RS;0; ;193; ;193;154;183,35;173,7
560;00079371;Элемент питания алкалиновый AAA/LR03 1.5В Energy Alkaline 2021 BL-2 (уп.2шт) DAEWOO 5029873 RS;8;60,32;104; ;104;83;98,8;93,6
561;00079370;Элемент питания алкалиновый AAA/LR03 (уп.20шт)  KOCLR0320BOX RS;1;291,56;465; ;465;419;441,75;418,5
562;00079369;Элемент питания алкалиновый AA/LR6 94 782 NBT-NE-LR6-BP12 (блист.12шт) NAVIGATOR 94782 RS;1;284,89;436; ;436;349;414,2;392,4
563;00079368;Элемент питания алкалиновый AA/LR6 94 753 NBT-NE-LR6-BP4 (блист.4шт) NAVIGATOR 94753 RS;0; ;142; ;142;114;134,9;127,8
564;00079367;Элемент питания алкалиновый AA/LR6 94 752 NBT-NE-LR6-BP2 (блист.2шт) NAVIGATOR 94752 RS;1;54,94;76; ;76;61;72,2;68,4
565;00079366;Элемент питания алкалиновый AA/LR6 1.5В Energy Alkaline 2021 BL-8 (уп.8шт) DAEWOO 5031081 RS;0; ;366; ;366;292;347,7;329,4
566;00079365;Элемент питания алкалиновый AA/LR6 1.5В Energy Alkaline 2021 BL-4 (уп.4шт) DAEWOO 5029781 RS;0; ;193; ;193;154;183,35;173,7
567;00079364;Элемент питания алкалиновый AA/LR6 1.5В Energy Alkaline 2021 BL-2 (уп.2шт) DAEWOO 5029750 RS;1;60,32;104; ;104;83;98,8;93,6
568;00079363;Элемент питания алкалиновый AA/LR6 (уп.20шт)  KOCLR620BOX RS;0; ;465; ;465;419;441,75;418,5
569;00079362;Элемент питания алкалиновый A27-5BL для пультов сигнализаций (блист.5шт) Трофи С0034939;0; ; ; ; ; ; ; 
570;00080701;Элемент питания алкалиновый A23 61 464 NBT-NE-A23-BP5 для пультов сигнализаций (блист.5шт) NAVIGA RS;11;214,1;335;311,55;335;280;318,25;301,5
571;00079361;Элемент питания алкалиновый A23 61 464 NBT-NE-A23-BP5 для пультов сигнализаций (блист.5шт) NAVIGA RS;0; ;335;311,55;335;280;318,25;301,5
572;00079360;Элемент питания алкалиновый (крона) LR 6LR61 Максимум BP-1 (блист.1шт) Космос KOC6LR61MAX1BL RS;1;116,2;180;167,4;180;150;171;162
573;00079359;Элемент питания алкалиновый (крона) 6LR61 9В Energy Alkaline 2021 BL-1 DAEWOO 5029729 RS;0; ;251; ;251;201;238,45;225,9
574;00079357;Элемент питания алкалиновый (крона) 6LR61 94 756 NBT-NE-6LR61-BP1 (блист.1шт) NAVIGATOR 94756 RS;0; ;223; ;223;179;211,85;200,7
575;00079356;Элемент питания LR06 (АА) алкалиновый бл. 4шт GENERICA IEK (1/12/144);32;68,55;137;127;137;107;130,15;123,3
576;00079355;Элемент питания LR03 (ААА) алкалиновый  бл. 4шт GENERICA IEK (1/12/144);22;68,55;137;127;137;107;130,15;123,3
577;00079354;Элемент питания GP CR2016-2C5 литиевый бл. 5шт (5/100/2000);30;56,33;425;410;425;335;403,75;382,5
578;00079353;Элемент питания GP CR2016-2C5 литиевый бл. 1шт;103;9,94;85;82;85;67;80,75;76,5
579;00079352;Элемент питания CR2032 литиевый бл. 1шт ЭРА (1/40);5;19,53;34;32;34;26;32,3;30,6
580;00079417;Элемент питания литиевый CR2032 94 765 NBT-CR2032-BP5 (блист.5шт) Navigator 94765 RS;0; ;200;186;200;165;190;180
581;00079414;Элемент питания литиевый CR2032 94 765 NBT-CR2032-BP5 (блист.1шт) Navigator 94765 RS;0; ;38; ;38;31;36,1;34,2
582;00079413;Элемент питания литиевый CR2032 3В 2021 BL-5 (уп.5шт) DAEWOO 5030268 RS;0; ;203; ;203;163;192,85;182,7
583;00079411;Элемент питания литиевый CR2032 3В 2021 BL-5 (уп.1шт) DAEWOO 5030268 RS;0; ;41; ;41;33;38,95;36,9
584;00079409;Элемент питания литиевый CR2025 94 764 NBT-CR2025-BP5 (блист.5шт) Navigator 94764 RS;0; ;191; ;191;153;181,45;171,9
585;00079407;Элемент питания литиевый CR2025 94 764 NBT-CR2025-BP5 (блист.1шт) Navigator 94764 RS;0; ;38; ;38;31;36,1;34,2
586;00079405;Элемент питания литиевый CR2025 3В 2021 BL-5 (уп.5шт) DAEWOO 5030206 RS;0; ;203; ;203;163;192,85;182,7
587;00079403;Элемент питания литиевый CR2025 3В 2021 BL-5 (уп.1шт) DAEWOO 5030206 RS;0; ;41; ;41;33;38,95;36,9
588;00079401;Элемент питания литиевый CR2016 94 763 NBT-CR2016-BP5 (блист.5шт) Navigator 94763 RS;0; ;191; ;191;153;181,45;171,9
589;00079399;Элемент питания литиевый CR2016 94 763 NBT-CR2016-BP5 (блист.1шт) Navigator 94763 RS;0; ;38; ;38;31;36,1;34,2
590;00079398;Элемент питания литиевый CR2016 3В 2021 BL-5 (уп.5шт) DAEWOO 5030145 RS;0; ;203; ;203;163;192,85;182,7
591;00079395;Элемент питания литиевый CR2016 3В 2021 BL-5 (уп.1шт) DAEWOO 5030145 RS;7;22,79;41; ;41;33;38,95;36,9
592;00079394;Элемент питания литиевый CR CR2016 BL-1 (блист.1шт) Camelion 3068 RS;0; ;75; ;75;68;71,25;67,5
593;00079393;Элемент питания литиевый CR CR123 1хBL (блист.1шт) Космос KOCCR1231BL RS;6;172,33;265;246,45;265;225;251,75;238,5
594;00079392;Элемент питания литиевый CR 2032 5хBL (блист.5шт) Космос KOC20325BL RS;0; ;128; ;128;115;121,6;115,2
595;00079391;Элемент питания литиевый CR 2032 5хBL (блист.1шт) Космос KOC20325BL RS;0; ;26; ;26;23;24,7;23,4
596;00079390;Элемент питания литиевый CR 2016 1хBL (блист.1шт) Космос KOC20161BL RS;0; ;25; ;25;23;23,75;22,5
597;00079389;Элемент питания для пультов сигнализаций LR27A Mercury Free A27-BP1 12В BL-1 (блист.1шт) RS;0; ;80; ;80;72;76;72
598;00079388;Элемент питания для пультов сигнализаций LR23A Mercury Free A23-BP1 12В BL-1 (блист.1шт) RS;0; ;80; ;80;72;76;72
599;00079387;Элемент питания алкалиновый ААА/LR03 BP-6 (блист.6шт) Космос KOCLR03BL6;0; ;155;144,15;155;128;147,25;139,5
600;00079386;Элемент питания алкалиновый АА/LR6 BP-6 (блист.6шт) Космос KOCLR6BL6;0; ;150;139,5;150;128;142,5;135
601;00079385;Элемент питания алкалиновый LR6 10хBL КОСМОС KOCLR610BL RS;1;174,24;275;255,75;275;228;261,25;247,5
602;00079384;Элемент питания алкалиновый LR03 10хBL КОСМОС KOCLR0310BL RS;3;174,36;275;255,75;275;228;261,25;247,5
603;00079383;Элемент питания алкалиновый LR LR6 BP-5 (блист.5шт) Космос KOCLR65BL RS;0; ;175; ;175;158;166,25;157,5
604;00079382;Элемент питания алкалиновый LR LR6 BP-4 (блист.4шт) Космос KOCLR64BL_classic RS;3;102,58;160;148,8;160;135;152;144
605;00079381;Элемент питания алкалиновый LR LR6 BP-2 (блист.2шт) Космос KOCLR62BL RS;1;53,23;85;79,05;85;70;80,75;76,5
606;00079380;Элемент питания алкалиновый LR LR20 Максимум BP2 (блист.2шт) Космос KOCLR20MAX2BL RS;0; ;346; ;346;311;328,7;311,4
607;00079379;Элемент питания алкалиновый LR LR14 Максимум BP2 (блист.2шт) Космос KOCLR14MAX2BL RS;7;155,32;238; ;238;214;226,1;214,2
608;00079318;ЩРН-24 пласт.замок (350х300х120) IP31 EKF PROxima;0; ; ; ; ; ; ; 
609;00079317;ЩРН-24 (395х310х120) IP54 EKF PROxima;0; ;4 150,00;3 950,00;4 150,00;2 600,00;3 942,50;3 735,00
610;00079316;ЩРН-12 (220х300х120) IP31 EKF PROxima;1;1259,08;2 112,00;2 011,00;2 112,00;1 634,00;2 006,40;1 900,80
611;00079290;ЩРВ-П-36 IP41 EKF PROxima;7;2015,22;3 380,00;3 219,00;3 380,00;2 615,00;3 211,00;3 042,00
612;00079289;ЩРВ-П-24 IP41 EKF PROxima;9;1259,32;2 113,00;2 012,00;2 113,00;1 634,00;2 007,35;1 901,70
613;00079288;"ЩРВ-П-24 ""SlimBox"" IP41 EKF";5;1438,4;2 412,00;2 297,00;2 412,00;1 867,00;2 291,40;2 170,80
614;00079287;ЩРВ-П-18 IP41 EKF PROxima;11;885,96;1 486,00;1 415,00;1 486,00;1 150,00;1 411,70;1 337,40
615;00079286;"ЩРВ-П-18 ""SlimBox"" IP41 EKF";3;994,67;1 669,00;1 589,00;1 669,00;1 291,00;1 585,55;1 502,10
616;00079285;ЩРВ-П-12 IP41 EKF PROxima;21;576,08;966;920;966;748;917,7;869,4
617;00079283;"ЩРВ-П-12 ""SlimBox"" IP41 EKF";1;696,08;1 168,00;1 112,00;1 168,00;904;1 109,60;1 051,20
618;00079282;ЩРВ-П- 8 IP41 EKF PROxima;0; ;831;791;831;643;789,45;747,9
619;00079281;ЩРВ-П- 4 IP41 EKF PROxima;0; ;599;570;599;463;569,05;539,1
620;00081881;ЩО-2  25.0050;0; ; ; ; ;84 604,00; ; 
621;00081880;ЩО-1  25.0049;0; ; ; ; ;11 183,00; ; 
622;00081885;ЩК-2  25.0054;0; ; ; ; ;28 278,00; ; 
623;00081884;ЩК-1  25.0053;0; ; ; ; ;109 588,00; ; 
624;00081882;ЩГП  25.0051;0; ; ; ; ;27 997,00; ; 
625;00081886;ЩВ  25.0055;0; ; ; ; ;194 092,00; ; 
626;00081879;ЩАО  25.0048;0; ; ; ; ;15 528,00; ; 
627;00080137;Штатив для 2хпрожекторов 4х10-100Вт<3кг LPR-TRIPOD ЭРА;10;1299,35;1 951,00;1 889,00;1 951,00;1 637,00;1 853,45;1 755,90
628;00081149;Шпилька резьбовая М10x2000 DIN 975 EKF;0; ;562; ;562;467;533,9;505,8
629;00081148;Шпилька резьбовая M8x2000 DIN 975 EKF;0; ;344; ;344;286;326,8;309,6
630;00086024;Шины на DIN-рейку (кросс-модуль) ШНК 4х7 3L+PEN IEK;0; ; ; ; ; ; ; 
631;00086025;Шины на DIN-рейку (кросс-модуль) ШНК 4х15 3L+PEN IEK;0; ; ; ; ; ; ; 
632;00079332;Шинопровод однофазный 1м LEEK черный (20);43;296,7;330;315;330;278;313,5;297
633;00079331;Шинопровод однофазный 1м LEEK белый (20);22;205,43;330;315;330;278;313,5;297
634;00085861;Шинопровод LE TRX 2 прямоугольный однофазный 2м LEEK черный (20);20;686,57;1 100,00;1 100,00;1 100,00;999;1 045,00;990
635;00086032;Шина соединительная типа PIN (12 штырей) 1Р 63А 22см IEK;0; ; ; ; ; ; ; 
636;00079351;Элемент питания CR2025 литиевый бл. 1шт Optima IEK (1/20/400);18;37,93;66;63;66;51;62,7;59,4
637;00079350;Элемент питания CR2016 литиевый бл. 1шт Optima IEK (1/20/400);15;37,93;66;63;66;51;62,7;59,4
638;00079349;Элемент питания 6LR61 крона 9V алкалиновый бл. 1шт GENERICA IEK (1/10/120);18;85,87;169;159;169;149;160,55;152,1
639;00079311;ЩУРн-П 3/10 (344х271х113) IP55 EKF Basic;4;1029,31;1 727,00;1 644,00;1 727,00;1 336,00;1 640,65;1 554,30
640;00081883;ЩС  25.0052;0; ; ; ; ;24 562,00; ; 
641;00079310;ЩРН-П-45 IP41 EKF PROxima;1;3270,4;5 485,00;4 888,00;5 485,00;4 244,00;5 210,75;4 936,50
642;00079309;ЩРН-П-36 IP41 EKF PROxima;4;1908,29;3 201,00;2 855,00;3 201,00;2 476,00;3 040,95;2 880,90
643;00079308;ЩРН-П-24 темное дерево IP41 EKF PROxima;20;2168,6;3 638,00;3 464,00;3 638,00;2 814,00;3 456,10;3 274,20
644;00079307;ЩРН-П-24 светлое дерево IP41 EKF PROxima;11;2168,6;3 638,00;3 464,00;3 638,00;2 814,00;3 456,10;3 274,20
645;00079306;ЩРН-П-24 IP41 EKF PROxima;15;1464,06;2 441,00;2 311,00;2 441,00;1 940,00;2 318,95;2 196,90
646;00079305;"ЩРН-П-24 ""SlimBox"" IP41 EKF";5;1438,38;2 412,00;2 297,00;2 412,00;1 867,00;2 291,40;2 170,80
647;00079304;ЩРН-П-18 темное дерево IP41 EKF PROxima;7;1263,04;2 118,00;2 017,00;2 118,00;1 639,00;2 012,10;1 906,20
648;00079303;ЩРН-П-18 светлое дерево IP41 EKF PROxima;8;1403,36;2 355,00;2 242,00;2 355,00;1 821,00;2 237,25;2 119,50
649;00079302;ЩРН-П-18 IP41 EKF PROxima;19;887,27;1 560,00;1 481,00;1 560,00;1 188,00;1 482,00;1 404,00
650;00079301;"ЩРН-П-18 ""SlimBox"" IP41 EKF";0; ;1 640,00;1 561,00;1 640,00;1 268,00;1 558,00;1 476,00
651;00079300;ЩРН-П-12 темное дерево IP41 EKF PROxima (10/12 модулей);8;833,57;1 399,00;1 332,00;1 399,00;1 082,00;1 329,05;1 259,10
652;00079299;ЩРН-П-12 светлое дерево IP41 EKF PROxima;27;876,83;1 399,00;1 332,00;1 399,00;1 082,00;1 329,05;1 259,10
653;00079298;"ЩРН-П-12 ""SlimBox"" IP41 EKF";12;763,29;1 280,00;1 219,00;1 280,00;991;1 216,00;1 152,00
654;00082346;ЩРН-П-10 темное дерево IP41 EKF PROxima;15;876,83;1 200,00;1 200,00;1 200,00;1 200,00;1 140,00;1 080,00
655;00079297;"ЩРН-П-10 ""SlimBox"" IP41 EKF";2;770,04;1 206,00;1 148,00;1 206,00;933;1 145,70;1 085,40
656;00079296;ЩРН-П- 8 темное дерево IP41 EKF PROxima;0; ;1 201,00;1 143,00;1 201,00;929;1 140,95;1 080,90
